abs,names,conc
1.75,X19611,0.5
1.671,X19611,0.5
1.743,X19611,0.5
1.627,X19611,0.5
1.443,X19611,0.5
0.101,pos,pos
1.272,X19611,5
1.234,X19611,5
1.236,X19611,5
1.188,X19611,5
1.338,X19611,5
0.107,pos,pos
1.24,X19611,10
1.221,X19611,10
1.185,X19611,10
1.157,X19611,10
1.116,X19611,10
0.107,pos,pos
1.604,X19611,25
1.44,X19611,25
1.372,X19611,25
1.327,X19611,25
1.467,X19611,25
0.117,pos,pos
1.993,X19612,0.5
1.901,X19612,0.5
2.039,X19612,0.5
1.879,X19612,0.5
1.717,X19612,0.5
0.112,pos,pos
1.778,X19612,5
1.766,X19612,5
1.752,X19612,5
1.804,X19612,5
1.717,X19612,5
2.096,neg,neg
1.878,X19612,10
1.933,X19612,10
1.883,X19612,10
1.825,X19612,10
1.722,X19612,10
2.064,neg,neg
1.979,X19612,25
2.1,X19612,25
2.005,X19612,25
1.955,X19612,25
1.949,X19612,25
2.208,neg,neg
1.954,X19613,0.5
1.88,X19613,0.5
1.914,X19613,0.5
1.727,X19613,0.5
1.864,X19613,0.5
2.125,neg,neg
1.876,X19613,5
1.808,X19613,5
1.824,X19613,5
1.934,X19613,5
1.868,X19613,5
2.195,neg,neg
1.662,X19613,10
1.802,X19613,10
1.864,X19613,10
1.73,X19613,10
1.412,X19613,10
0.14,pos,pos
2.082,X19613,25
2.292,X19613,25
2.133,X19613,25
2.118,X19613,25
1.913,X19613,25
0.116,pos,pos
1.935,X19615,0.5
2.053,X19615,0.5
1.991,X19615,0.5
2.012,X19615,0.5
2.014,X19615,0.5
0.126,pos,pos
1.896,X19615,5
1.849,X19615,5
1.777,X19615,5
1.779,X19615,5
1.554,X19615,5
0.123,pos,pos
1.654,X19615,10
1.726,X19615,10
1.648,X19615,10
1.647,X19615,10
1.68,X19615,10
0.133,pos,pos
1.582,X19615,25
1.637,X19615,25
1.575,X19615,25
1.576,X19615,25
1.481,X19615,25
2.068,neg,neg
1.908,X19616,0.5
2.068,X19616,0.5
2.01,X19616,0.5
1.95,X19616,0.5
1.962,X19616,0.5
2.09,neg,neg
1.858,X19616,5
1.875,X19616,5
1.728,X19616,5
1.702,X19616,5
1.73,X19616,5
2.022,neg,neg
2.001,X19616,10
2.054,X19616,10
2.012,X19616,10
1.89,X19616,10
1.88,X19616,10
2.088,neg,neg
0.908,X19616,25
0.841,X19616,25
0.891,X19616,25
0.857,X19616,25
0.946,X19616,25
2.137,neg,neg
1.602,X19317,0.5
1.619,X19317,0.5
1.687,X19317,0.5
1.57,X19317,0.5
0.775,X19317,0.5
0.075,pos,pos
1.857,X19317,5
1.888,X19317,5
1.926,X19317,5
1.833,X19317,5
1.714,X19317,5
0.083,pos,pos
1.705,X19317,10
1.718,X19317,10
1.719,X19317,10
1.746,X19317,10
1.438,X19317,10
0.092,pos,pos
1.882,X19317,25
1.828,X19317,25
1.928,X19317,25
1.917,X19317,25
1.661,X19317,25
0.107,pos,pos
1.761,X19322,0.5
1.789,X19322,0.5
1.87,X19322,0.5
1.872,X19322,0.5
1.782,X19322,0.5
0.101,pos,pos
1.674,X19322,5
1.823,X19322,5
1.839,X19322,5
1.756,X19322,5
1.674,X19322,5
1.899,neg,neg
1.795,X19322,10
1.942,X19322,10
1.909,X19322,10
1.918,X19322,10
1.876,X19322,10
1.984,neg,neg
1.967,X19322,25
1.826,X19322,25
1.935,X19322,25
1.762,X19322,25
1.784,X19322,25
2.101,neg,neg
1.728,X19304,0.5
1.877,X19304,0.5
1.907,X19304,0.5
1.994,X19304,0.5
2.021,X19304,0.5
2.095,neg,neg
1.762,X19304,5
1.878,X19304,5
1.904,X19304,5
1.81,X19304,5
1.705,X19304,5
1.951,neg,neg
1.605,X19304,10
1.378,X19304,10
1.482,X19304,10
1.298,X19304,10
1.474,X19304,10
0.14,pos,pos
1.054,X19304,25
1.051,X19304,25
1.056,X19304,25
1.037,X19304,25
1.011,X19304,25
0.128,pos,pos
1.958,X19306,0.5
1.945,X19306,0.5
1.86,X19306,0.5
1.882,X19306,0.5
1.833,X19306,0.5
0.118,pos,pos
2.096,X19306,5
2.037,X19306,5
2,X19306,5
1.925,X19306,5
1.954,X19306,5
0.113,pos,pos
1.83,X19306,10
1.875,X19306,10
1.809,X19306,10
1.87,X19306,10
1.807,X19306,10
0.115,pos,pos
1.976,X19306,25
1.988,X19306,25
1.995,X19306,25
1.922,X19306,25
1.881,X19306,25
2.199,neg,neg
1.839,X19310,0.5
1.908,X19310,0.5
1.998,X19310,0.5
1.89,X19310,0.5
1.872,X19310,0.5
2.011,neg,neg
2.055,X19310,5
2.033,X19310,5
1.945,X19310,5
1.893,X19310,5
1.897,X19310,5
1.926,neg,neg
1.956,X19310,10
1.948,X19310,10
1.849,X19310,10
1.832,X19310,10
1.862,X19310,10
1.95,neg,neg
2.138,X19310,25
1.991,X19310,25
1.976,X19310,25
1.95,X19310,25
1.985,X19310,25
1.984,neg,neg
1.923,X19311,0.5
1.914,X19311,0.5
1.691,X19311,0.5
2.068,X19311,0.5
1.952,X19311,0.5
0.138,pos,pos
2.19,X19311,5
2.144,X19311,5
2.083,X19311,5
2.235,X19311,5
1.999,X19311,5
0.124,pos,pos
2.202,X19311,10
2.256,X19311,10
2.253,X19311,10
2.27,X19311,10
2.151,X19311,10
0.126,pos,pos
2.298,X19311,25
2.157,X19311,25
2.13,X19311,25
2.128,X19311,25
1.679,X19311,25
0.121,pos,pos
1.7,X19318,0.5
1.643,X19318,0.5
1.58,X19318,0.5
1.661,X19318,0.5
1.715,X19318,0.5
0.136,pos,pos
2.014,X19318,5
1.961,X19318,5
2.01,X19318,5
1.958,X19318,5
1.792,X19318,5
2.104,neg,neg
1.706,X19318,10
1.682,X19318,10
1.637,X19318,10
1.61,X19318,10
1.597,X19318,10
1.809,neg,neg
1.848,X19318,25
1.874,X19318,25
1.786,X19318,25
1.834,X19318,25
1.922,X19318,25
1.902,neg,neg
1.846,X19319,0.5
1.802,X19319,0.5
1.755,X19319,0.5
1.833,X19319,0.5
1.666,X19319,0.5
2.006,neg,neg
1.924,X19319,5
1.817,X19319,5
1.885,X19319,5
1.79,X19319,5
1.758,X19319,5
2.088,neg,neg
1.77,X19319,10
1.867,X19319,10
1.824,X19319,10
1.816,X19319,10
1.774,X19319,10
0.135,pos,pos
1.943,X19319,25
1.799,X19319,25
1.688,X19319,25
1.754,X19319,25
1.7,X19319,25
0.137,pos,pos
1.76,X19320,0.5
1.738,X19320,0.5
1.78,X19320,0.5
1.793,X19320,0.5
1.594,X19320,0.5
0.129,pos,pos
1.662,X19320,5
1.915,X19320,5
1.956,X19320,5
1.903,X19320,5
1.839,X19320,5
0.142,pos,pos
1.903,X19320,10
1.705,X19320,10
1.739,X19320,10
1.764,X19320,10
1.763,X19320,10
0.133,pos,pos
2.047,X19320,25
1.925,X19320,25
1.934,X19320,25
1.904,X19320,25
1.851,X19320,25
2.132,neg,neg
1.974,X19321,0.5
1.994,X19321,0.5
1.849,X19321,0.5
1.829,X19321,0.5
1.833,X19321,0.5
2.142,neg,neg
1.97,X19321,5
1.932,X19321,5
1.921,X19321,5
1.91,X19321,5
1.741,X19321,5
1.985,neg,neg
1.903,X19321,10
1.949,X19321,10
1.934,X19321,10
1.868,X19321,10
1.899,X19321,10
1.934,neg,neg
2.072,X19321,25
2.117,X19321,25
1.996,X19321,25
2.039,X19321,25
2.04,X19321,25
2.159,neg,neg
1.749,X19324,0.5
1.645,X19324,0.5
1.601,X19324,0.5
1.652,X19324,0.5
1.779,X19324,0.5
0.111,pos,pos
1.89,X19324,5
1.771,X19324,5
1.732,X19324,5
1.752,X19324,5
1.38,X19324,5
0.124,pos,pos
1.797,X19324,10
1.78,X19324,10
1.766,X19324,10
1.655,X19324,10
1.876,X19324,10
0.133,pos,pos
1.331,X19324,25
1.233,X19324,25
1.301,X19324,25
1.269,X19324,25
1.269,X19324,25
0.122,pos,pos
1.872,X19326,0.5
1.926,X19326,0.5
1.793,X19326,0.5
1.826,X19326,0.5
1.666,X19326,0.5
0.138,pos,pos
1.954,X19326,5
1.919,X19326,5
1.924,X19326,5
1.846,X19326,5
1.937,X19326,5
1.973,neg,neg
1.678,X19326,10
1.622,X19326,10
1.665,X19326,10
1.61,X19326,10
1.65,X19326,10
2.005,neg,neg
0.456,X19326,25
0.439,X19326,25
0.436,X19326,25
0.421,X19326,25
0.434,X19326,25
2.007,neg,neg
1.742,X19329,0.5
1.817,X19329,0.5
1.804,X19329,0.5
1.827,X19329,0.5
1.807,X19329,0.5
2.135,neg,neg
1.931,X19329,5
1.79,X19329,5
1.962,X19329,5
1.871,X19329,5
1.757,X19329,5
2.184,neg,neg
1.617,X19329,10
1.405,X19329,10
1.543,X19329,10
1.345,X19329,10
1.457,X19329,10
0.115,pos,pos
1.516,X19329,25
1.465,X19329,25
1.38,X19329,25
1.393,X19329,25
1.312,X19329,25
0.105,pos,pos
1.683,X19330,0.5
1.607,X19330,0.5
1.664,X19330,0.5
1.608,X19330,0.5
1.68,X19330,0.5
0.118,pos,pos
1.604,X19330,5
1.611,X19330,5
1.563,X19330,5
1.624,X19330,5
1.461,X19330,5
0.115,pos,pos
1.088,X19330,10
1.047,X19330,10
1.01,X19330,10
1.006,X19330,10
1.093,X19330,10
