abs;names;conc
0.984;X22901;0.5
1.008;X22901;0.5
1.055;X22901;0.5
0.957;X22901;0.5
1;X22901;0.5
0.147;pos;pos
0.874;X22901;5
0.903;X22901;5
0.836;X22901;5
0.892;X22901;5
0.864;X22901;5
0.137;pos;pos
0.667;X22901;10
0.798;X22901;10
0.802;X22901;10
0.758;X22901;10
0.894;X22901;10
0.125;pos;pos
0.854;X22901;25
0.808;X22901;25
0.858;X22901;25
0.801;X22901;25
0.923;X22901;25
0.11;pos;pos
0.981;X22902;0.5
0.945;X22902;0.5
1.012;X22902;0.5
0.984;X22902;0.5
0.998;X22902;0.5
0.121;pos;pos
0.928;X22902;5
0.914;X22902;5
0.919;X22902;5
0.885;X22902;5
0.928;X22902;5
1.145;neg;neg
0.945;X22902;10
0.957;X22902;10
0.92;X22902;10
0.895;X22902;10
0.844;X22902;10
0.978;neg;neg
0.888;X22902;25
0.86;X22902;25
0.848;X22902;25
0.872;X22902;25
0.904;X22902;25
1.174;neg;neg
0.953;X22903;0.5
0.974;X22903;0.5
0.877;X22903;0.5
1.038;X22903;0.5
0.997;X22903;0.5
1.078;neg;neg
0.82;X22903;5
0.838;X22903;5
0.776;X22903;5
0.802;X22903;5
0.841;X22903;5
1.091;neg;neg
0.849;X22903;10
0.852;X22903;10
0.898;X22903;10
0.81;X22903;10
0.956;X22903;10
0.118;pos;pos
0.837;X22903;25
0.907;X22903;25
0.81;X22903;25
0.87;X22903;25
0.877;X22903;25
0.131;pos;pos
0.782;X22904;0.5
0.793;X22904;0.5
0.82;X22904;0.5
0.799;X22904;0.5
0.773;X22904;0.5
0.129;pos;pos
0.629;X22904;5
0.812;X22904;5
0.77;X22904;5
0.815;X22904;5
0.859;X22904;5
0.117;pos;pos
0.8;X22904;10
0.787;X22904;10
0.746;X22904;10
0.808;X22904;10
0.813;X22904;10
0.117;pos;pos
0.61;X22904;25
0.644;X22904;25
0.568;X22904;25
0.635;X22904;25
0.814;X22904;25
0.965;neg;neg
0.816;X22905;0.5
0.894;X22905;0.5
0.824;X22905;0.5
0.785;X22905;0.5
0.898;X22905;0.5
0.984;neg;neg
0.7;X22905;5
0.789;X22905;5
0.772;X22905;5
0.806;X22905;5
0.825;X22905;5
0.94;neg;neg
0.738;X22905;10
0.678;X22905;10
0.686;X22905;10
0.733;X22905;10
0.741;X22905;10
0.993;neg;neg
0.463;X22905;25
0.46;X22905;25
0.484;X22905;25
